Nodes,Procs,Threads,Datapoints,Dim,Reps,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
1,1,24,100000,10,1,0.639,0.500,0.203,0.073,0.129,0.000,0.007,0.000
1,1,24,100000,10,2,0.577,0.500,0.202,0.073,0.128,0.000,0.007,0.000
1,1,24,100000,10,3,0.612,0.509,0.201,0.073,0.126,0.000,0.007,0.000
1,1,28,100000,10,1,0.580,0.503,0.190,0.066,0.123,0.000,0.007,0.000
1,1,28,100000,10,2,0.766,0.617,0.198,0.075,0.122,0.000,0.007,0.000
1,1,28,100000,10,3,0.783,0.651,0.197,0.074,0.122,0.000,0.007,0.000
1,1,32,100000,10,1,1.072,0.676,0.192,0.067,0.124,0.000,0.008,0.000
1,1,32,100000,10,2,1.320,0.718,0.201,0.076,0.124,0.000,0.008,0.000
1,1,32,100000,10,3,0.625,0.484,0.185,0.065,0.119,0.000,0.008,0.000
1,1,36,100000,10,1,0.756,0.640,0.214,0.092,0.122,0.000,0.008,0.000
1,1,36,100000,10,2,0.705,0.546,0.215,0.091,0.123,0.000,0.008,0.000
1,1,36,100000,10,3,0.745,0.643,0.211,0.092,0.118,0.000,0.008,0.000
1,1,1,1000000,10,1,77.823,77.716,74.670,54.452,20.217,0.000,0.001,0.000
1,1,1,1000000,10,2,77.787,77.676,74.642,54.419,20.222,0.000,0.001,0.000
1,1,1,1000000,10,3,77.804,77.695,74.655,54.431,20.223,0.000,0.001,0.000
1,1,2,1000000,10,1,23.039,22.950,19.904,9.811,10.092,0.000,0.003,0.000
1,1,2,1000000,10,2,22.933,22.799,19.838,9.753,10.084,0.000,0.003,0.000
1,1,2,1000000,10,3,22.821,22.759,19.834,9.751,10.082,0.000,0.003,0.000
1,1,4,1000000,10,1,13.169,13.091,10.034,4.970,5.062,0.000,0.005,0.000
1,1,4,1000000,10,2,13.084,12.972,9.973,4.926,5.045,0.000,0.004,0.000
1,1,4,1000000,10,3,13.051,12.952,9.988,4.938,5.049,0.000,0.004,0.000
1,1,8,1000000,10,1,8.181,8.092,5.078,2.541,2.535,0.000,0.005,0.000
1,1,8,1000000,10,2,8.121,8.005,5.056,2.527,2.528,0.000,0.005,0.000
1,1,8,1000000,10,3,8.291,8.180,5.124,2.562,2.561,0.000,0.005,0.000
1,1,10,1000000,10,1,7.061,6.831,4.074,2.048,2.025,0.000,0.005,0.000
1,1,10,1000000,10,2,7.972,7.881,4.108,2.058,2.048,0.000,0.006,0.000
1,1,10,1000000,10,3,7.827,7.702,4.135,2.071,2.063,0.000,0.006,0.000
1,1,15,1000000,10,1,6.546,6.458,2.859,1.499,1.359,0.000,0.006,0.000
1,1,15,1000000,10,2,6.292,6.168,2.926,1.515,1.410,0.000,0.007,0.000
1,1,15,1000000,10,3,5.728,5.579,2.848,1.484,1.363,0.000,0.007,0.000
1,1,17,1000000,10,1,5.451,5.326,2.555,1.348,1.207,0.000,0.007,0.000
1,1,17,1000000,10,2,5.348,5.260,2.518,1.313,1.204,0.000,0.007,0.000
1,1,17,1000000,10,3,5.470,5.333,2.563,1.342,1.220,0.000,0.007,0.000
1,1,21,1000000,10,1,4.885,4.799,2.057,1.050,1.006,0.000,0.008,0.000
1,1,21,1000000,10,2,4.959,4.803,2.043,1.026,1.015,0.000,0.008,0.000
1,1,21,1000000,10,3,4.909,4.783,2.028,1.024,1.003,0.000,0.008,0.000
1,1,24,1000000,10,1,4.684,4.576,1.832,0.957,0.874,0.000,0.008,0.000
1,1,24,1000000,10,2,4.711,4.638,1.865,0.972,0.893,0.000,0.008,0.000
1,1,24,1000000,10,3,4.681,4.599,1.847,0.975,0.872,0.000,0.009,0.000
1,1,28,1000000,10,1,4.632,4.370,1.617,0.853,0.764,0.000,0.008,0.000
1,1,28,1000000,10,2,4.508,4.381,1.619,0.856,0.762,0.000,0.008,0.000
1,1,28,1000000,10,3,4.480,4.383,1.627,0.862,0.764,0.000,0.007,0.000
1,1,32,1000000,10,1,4.399,4.225,1.483,0.800,0.683,0.000,0.009,0.000
1,1,32,1000000,10,2,4.558,4.443,1.482,0.769,0.712,0.000,0.009,0.000
1,1,32,1000000,10,3,4.358,4.204,1.468,0.784,0.683,0.000,0.009,0.000
1,1,36,1000000,10,1,5.850,5.702,1.701,0.927,0.773,0.000,0.009,0.000
1,1,36,1000000,10,2,4.322,4.180,1.367,0.739,0.626,0.000,0.009,0.000
1,1,36,1000000,10,3,5.591,5.527,1.513,0.814,0.697,0.000,0.009,0.000
1,1,1,10000000,10,1,776.825,776.738,748.331,545.487,202.842,0.000,0.003,0.000
1,1,1,10000000,10,2,775.756,775.667,747.919,545.185,202.732,0.000,0.003,0.000
1,1,1,10000000,10,3,775.692,775.608,747.603,544.834,202.767,0.000,0.003,0.000
1,1,2,10000000,10,1,253.239,253.127,224.868,123.316,101.551,0.000,0.004,0.000
1,1,2,10000000,10,2,252.429,252.338,224.166,122.623,101.542,0.000,0.005,0.000
1,1,2,10000000,10,3,253.396,253.330,225.233,123.717,101.515,0.000,0.005,0.000
1,1,4,10000000,10,1,143.599,143.426,115.451,64.595,50.854,0.000,0.006,0.000
1,1,4,10000000,10,2,143.995,143.927,115.749,64.844,50.903,0.000,0.006,0.000
1,1,4,10000000,10,3,143.993,143.904,115.448,64.534,50.912,0.000,0.005,0.000
1,1,8,10000000,10,1,90.474,90.381,61.705,36.152,25.552,0.000,0.006,0.000
1,1,8,10000000,10,2,90.400,90.260,62.029,36.551,25.478,0.000,0.006,0.000
1,1,8,10000000,10,3,90.224,90.133,61.776,36.269,25.506,0.000,0.007,0.000
1,1,10,10000000,10,1,80.829,80.697,52.771,32.328,20.442,0.000,0.007,0.000
1,1,10,10000000,10,2,80.721,80.639,52.747,32.315,20.431,0.000,0.007,0.000
1,1,10,10000000,10,3,80.552,80.422,52.545,32.082,20.462,0.000,0.007,0.000
1,1,15,10000000,10,1,71.247,71.150,43.223,29.561,13.660,0.000,0.008,0.000
1,1,15,10000000,10,2,72.694,72.583,44.716,31.053,13.662,0.000,0.007,0.000
1,1,15,10000000,10,3,72.647,72.564,44.382,30.735,13.646,0.000,0.007,0.000
1,1,17,10000000,10,1,69.387,69.214,41.210,29.149,12.060,0.000,0.007,0.000
1,1,17,10000000,10,2,69.263,69.175,42.141,30.061,12.079,0.000,0.008,0.000
1,1,17,10000000,10,3,69.890,69.789,42.772,30.694,12.076,0.000,0.008,0.000
1,1,21,10000000,10,1,65.140,64.989,37.968,28.150,9.818,0.000,0.009,0.000
1,1,21,10000000,10,2,66.077,65.962,38.223,28.383,9.839,0.000,0.009,0.000
1,1,21,10000000,10,3,65.764,65.685,38.028,28.215,9.812,0.000,0.009,0.000
1,1,24,10000000,10,1,64.404,64.338,37.303,28.701,8.601,0.000,0.009,0.000
1,1,24,10000000,10,2,66.356,66.240,37.964,29.331,8.631,0.000,0.009,0.000
1,1,24,10000000,10,3,65.585,65.497,37.871,29.270,8.599,0.000,0.009,0.000
1,1,28,10000000,10,1,63.378,63.251,36.213,28.808,7.403,0.000,0.009,0.000
1,1,28,10000000,10,2,64.045,63.979,36.205,28.800,7.403,0.000,0.008,0.000
1,1,28,10000000,10,3,63.394,63.330,36.293,28.901,7.391,0.000,0.009,0.000
1,1,32,10000000,10,1,62.426,62.342,35.312,28.814,6.497,0.000,0.009,0.000
1,1,32,10000000,10,2,63.079,62.975,35.282,28.789,6.492,0.000,0.010,0.000
1,1,32,10000000,10,3,63.608,63.445,35.696,29.177,6.517,0.000,0.009,0.000
1,1,36,10000000,10,1,62.279,62.122,33.743,27.933,5.807,0.000,0.010,0.000
1,1,36,10000000,10,2,62.669,62.565,35.349,29.541,5.806,0.000,0.011,0.000
1,1,36,10000000,10,3,62.592,62.346,35.148,29.340,5.805,0.000,0.011,0.000
