#Iter,cPrior,cLhood,cPost,pPrior,pLhood,pPost
     1,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639983826728e+02,-2.70441317575801571e+05,-2.70565636215785402e+05
   100,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984736080e+02,-2.20694953814305482e+05,-2.20819272454290214e+05
   200,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984443195e+02,-2.71373753729026241e+05,-2.71498072369010712e+05
   300,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984086673e+02,-3.21752682813167688e+05,-3.21877001453151752e+05
   400,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639985136272e+02,-1.79114024903617596e+05,-1.79238343543602736e+05
   500,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984982070e+02,-5.26850681488527916e+05,-5.26975000128512853e+05
   600,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984955524e+02,-2.08141533902243274e+05,-2.08265852542228240e+05
   700,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984169437e+02,-2.97535661442644545e+05,-2.97659980082628725e+05
   800,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984083688e+02,-4.00321645037856768e+05,-4.00445963677840831e+05
   900,-1.24318639984578667e+02,-1.12000763247142633e+05,-1.12125081887127206e+05,-1.24318639984846101e+02,-3.20122693808534474e+05,-3.20247012448519294e+05
  1000,-1.24318639984299551e+02,-1.11910421445071479e+05,-1.12034740085055775e+05,-1.24318639985404189e+02,-2.99923106533783837e+05,-3.00047425173769239e+05
