#Iter,cPrior,cLhood,cPost,pPrior,pLhood,pPost
     1,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639987252979e+02,-2.48780413231556886e+04,-2.50023599631429424e+04
   100,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639988562921e+02,-1.67494204539769889e+04,-1.68737390939655525e+04
   200,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639987949126e+02,-1.52369712245497813e+04,-1.53612898645377300e+04
   300,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639987339935e+02,-1.78740418724235933e+04,-1.79983605124109345e+04
   400,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639989154889e+02,-1.28062920214265669e+04,-1.29306106614157216e+04
   500,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639988515415e+02,-3.32507173340330919e+04,-3.33750359740216081e+04
   600,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639988970489e+02,-1.87677356636567638e+04,-1.88920543036457348e+04
   700,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639987461466e+02,-1.54159312126457844e+04,-1.55402498526332456e+04
   800,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639987231606e+02,-2.20077769764014702e+04,-2.21320956163887022e+04
   900,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639988413224e+02,-1.56561844584847022e+04,-1.57805030984731147e+04
  1000,-1.24318639988341715e+02,-6.57239835096543538e+03,-6.69671699095377699e+03,-1.24318639989729107e+02,-1.65166263934118324e+04,-1.66409450334015601e+04
