#Iter,cPrior,cLhood,cPost,pPrior,pLhood,pPost
     1,-1.24318639986048893e+02,-9.15098246480072135e+02,-1.03941688646612101e+03,-1.24318639985248055e+02,-3.03946223803567818e+03,-3.16378087802092614e+03
   100,-1.24318639986048893e+02,-9.15098246480072135e+02,-1.03941688646612101e+03,-1.24318639986187264e+02,-1.73053883496646790e+03,-1.85485747495265514e+03
   200,-1.24318639986817161e+02,-8.33125149829748352e+02,-9.57443789816565527e+02,-1.24318639986564307e+02,-2.00956935502659212e+03,-2.13388799501315634e+03
   300,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639986374023e+02,-2.20765307348407623e+03,-2.33197171347045014e+03
   400,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639987937928e+02,-1.39862742846164110e+03,-1.52294606844957912e+03
   500,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639987495345e+02,-3.80907194048740257e+03,-3.93339058047489789e+03
   600,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639987667282e+02,-1.61646211598118202e+03,-1.74078075596884923e+03
   700,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639986420578e+02,-1.80319634786620486e+03,-1.92751498785262538e+03
   800,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639986229840e+02,-2.44835551966656249e+03,-2.57267415965279224e+03
   900,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639987357386e+02,-1.97811869332306401e+03,-2.10243733331042131e+03
  1000,-1.24318639987185918e+02,-7.30518558856250820e+02,-8.54837198843436681e+02,-1.24318639988636662e+02,-2.29040615971329453e+03,-2.41472479970193126e+03
